Question,Answer
How can I reset my password?,Go to the login page and click on 'Forgot Password'. Enter your registered email address and follow the instructions sent to your inbox.
How do I change my email address?,"Log in to your account, go to 'Settings', select 'Update Email', and enter your new email address."
Can I track my order?,"Yes, you can track your order by visiting the 'My Orders' section and clicking on 'Track Order'."
What payment methods are accepted?,"We accept credit/debit cards, UPI, net banking, and popular wallets such as Paytm and Google Pay."
How do I contact customer support?,"You can reach our support team via the 'Contact Us' page, or email us at support@example.com."
What is the return policy?,"You can return products within 7 days of delivery, provided they are unused and in original packaging."
Is there a mobile app available?,"Yes, our mobile app is available on both Android (Google Play Store) and iOS (Apple App Store)."
Do you ship internationally?,"Currently, we only ship within India, but international shipping will be introduced soon."
How do I apply a discount code?,"On the checkout page, enter your discount code in the 'Apply Coupon' box before making the payment."
How long does delivery take?,Standard delivery usually takes 3–5 business days depending on your location.
Can I cancel my order after placing it?,Orders can be canceled within 2 hours of placing them from the 'My Orders' section.
How do I update my shipping address?,Go to 'My Account' → 'Addresses' → select 'Edit' to update your shipping address before the order is dispatched.
Do you offer cash on delivery?,"Yes, cash on delivery is available for selected products and locations."
How do I create an account?,Click on 'Sign Up' at the top-right corner of the website and fill in your details to create an account.
What should I do if I receive a damaged product?,Please contact our support team within 48 hours of delivery with images of the damaged product for assistance.
Can I change items in my order after placing it?,"Once an order is placed, items cannot be modified, but you can cancel the order and place a new one."
How do I unsubscribe from promotional emails?,Click on 'Unsubscribe' at the bottom of our promotional emails to stop receiving them.
Is my payment information secure?,"Yes, we use industry-standard encryption to ensure your payment details are completely secure."
Do you offer gift cards?,"Yes, we offer digital gift cards that can be purchased online and emailed to the recipient."
Can I schedule delivery for a specific date?,"Yes, you can select a preferred delivery date at checkout for eligible products."
Do you provide installation services for products?,"Yes, for certain products like appliances, we provide installation services at no extra cost."
What are your customer support hours?,"Our customer support team is available from 9:00 AM to 9:00 PM, Monday to Saturday."
Can I reorder items I bought earlier?,"Yes, go to 'My Orders', select the previous order, and click 'Reorder'."
Do you provide invoices for business purchases?,"Yes, invoices are automatically generated and can be downloaded from the 'My Orders' section."
Do you have a loyalty or rewards program?,"Yes, we have a loyalty program where you earn points on every purchase, which can be redeemed later."
